,subs,views,week,start_date,end_date,subs_cumsum,views_cumsum
74,15865.0,1456554.0,75,2023-01-09,2023-01-15,86890.0,12794813.0
75,5963.0,2007754.0,76,2023-01-16,2023-01-22,92853.0,14802567.0
76,8883.0,2558787.0,77,2023-01-23,2023-01-29,101736.0,17361354.0
77,7613.0,5022325.0,78,2023-01-30,2023-02-05,109349.0,22383679.0
78,5074.0,6407750.0,79,2023-02-06,2023-02-12,114423.0,28791429.0
79,3805.0,2553017.0,80,2023-02-13,2023-02-19,118228.0,31344446.0
80,5074.0,935233.0,81,2023-02-20,2023-02-26,123302.0,32279679.0
81,5074.0,2484905.0,82,2023-02-27,2023-03-05,128376.0,34764584.0
82,3805.0,2268900.0,83,2023-03-06,2023-03-12,132181.0,37033484.0
83,5074.0,2063428.0,84,2023-03-13,2023-03-19,137255.0,39096912.0
84,3805.0,2826866.0,85,2023-03-20,2023-03-26,141060.0,41923778.0
85,7613.0,7241545.0,86,2023-03-27,2023-04-02,148673.0,49165323.0
86,3805.0,3757721.0,87,2023-04-03,2023-04-09,152478.0,52923044.0
87,6344.0,3257209.0,88,2023-04-10,2023-04-16,158822.0,56180253.0
88,3805.0,3248773.0,89,2023-04-17,2023-04-23,162627.0,59429026.0
89,6344.0,2009473.0,90,2023-04-24,2023-04-30,168971.0,61438499.0
90,15230.0,3906478.0,91,2023-05-01,2023-05-07,184201.0,65344977.0
91,10152.0,6749926.0,92,2023-05-08,2023-05-14,194353.0,72094903.0
92,20309.0,11769023.0,93,2023-05-15,2023-05-21,214662.0,83863926.0
93,8883.0,8109779.0,94,2023-05-22,2023-05-28,223545.0,91973705.0
94,6344.0,4241215.0,95,2023-05-29,2023-06-04,229889.0,96214920.0
95,3805.0,2352310.0,96,2023-06-05,2023-06-11,233694.0,98567230.0
96,3805.0,2948432.0,97,2023-06-12,2023-06-18,237499.0,101515662.0
97,2535.0,1315284.0,98,2023-06-19,2023-06-25,240034.0,102830946.0
98,2535.0,2055521.0,99,2023-06-26,2023-07-02,242569.0,104886467.0
99,2535.0,2065170.0,100,2023-07-03,2023-07-09,245104.0,106951637.0
100,3805.0,1903882.0,101,2023-07-10,2023-07-16,248909.0,108855519.0
101,2535.0,1487943.0,102,2023-07-17,2023-07-23,251444.0,110343462.0
102,2535.0,1984673.0,103,2023-07-24,2023-07-30,253979.0,112328135.0
103,2535.0,2625766.0,104,2023-07-31,2023-08-06,256514.0,114953901.0
104,3805.0,2159016.0,105,2023-08-07,2023-08-13,260319.0,117112917.0
105,2535.0,1499019.0,106,2023-08-14,2023-08-20,262854.0,118611936.0
106,2535.0,955324.0,107,2023-08-21,2023-08-27,265389.0,119567260.0
107,3805.0,1848793.0,108,2023-08-28,2023-09-03,269194.0,121416053.0
108,7613.0,2167524.0,109,2023-09-04,2023-09-10,276807.0,123583577.0
109,6344.0,2912999.0,110,2023-09-11,2023-09-17,283151.0,126496576.0
110,3805.0,2282452.0,111,2023-09-18,2023-09-24,286956.0,128779028.0
111,2535.0,1641106.0,112,2023-09-25,2023-10-01,289491.0,130420134.0
