,video_id,final_emotion_score,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise
917,_ZQ-lQrK9Rg,0.7216541734504506,0.5074837012105577,0.0,0.00292662694118917,0.029643717814575542,0.05657964937078456,0.09368259459733963,0.06908092554658651,0.09396475442918018,0.10418741200119257,0.021230630576610565,0.08644149846143344,0.0,0.0,0.1268439499544911,0.0,0.5845346683335881,0.0,0.049005447421222925,0.6161112700189862,0.0,0.33719214329780156,0.020105267905940614,0.0,0.01529687038467576,0.0,0.0,0.0,0.027089904993772507
918,4yLvdOx-Mk4,0.42807117104530334,0.0,0.0,0.0,0.027289213612675667,0.0,0.0,0.0,0.0,0.8166542649269104,0.02197786048054695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06107393279671669,0.06638893485069275,0.0,0.0,0.0,0.0,0.0,0.0
919,l82PxsKHxYc,0.10002333674108603,0.4511995093504849,0.43173774471506476,0.004023258690722287,0.0201548942985634,0.04420537798589951,0.0,0.0,0.019516037156184513,0.3023625761270523,0.03345222561620176,0.015325738955289126,0.27900657057762146,0.0,0.13867023223164407,0.0,0.31394939314729225,0.0,0.033744253171607855,0.5992476344108582,0.0,0.33765933135609055,0.29585549188777804,0.0,0.008379076258279383,0.0,0.0,0.0,0.5670153260231018
920,jZ0U339ewKo,0.2802049990378968,0.009437644388526678,0.0,0.0,0.006601928919553757,0.017922311888209412,0.018062155693769455,0.0,0.0,0.2834444232285023,0.0,0.0035897449124604464,0.0,0.0,0.0,0.0,0.9805928468704224,0.0,0.0,0.0,0.0,0.6453217031168086,0.4683566726744175,0.0,0.0064828419126570225,0.0,0.0,0.0,0.0
921,vpm8T-JhOjo,0.45198468473870634,0.2654434000997215,0.0,0.004528317600488663,0.0074584754945879635,0.03544369895287134,0.050095103681087494,0.2358439148714145,0.07719225238543004,0.42385613918304443,0.0,0.0093992759635591,0.0,0.0,0.02798203963902779,0.0,0.5803292367124447,0.0,0.03732772311195731,0.0,0.0,0.6098745262886329,0.025460239810248215,0.0,0.006443897724294892,0.0,0.0,0.0,0.08907381445169449
922,Rmtr9SY-4VQ,0.24528880301862954,0.47151264976710083,0.0,0.0,0.008923587389290333,0.023327276642833437,0.0,0.0,0.006350113855053981,0.00868631200864911,0.0,0.0,0.0,0.0,0.0,0.0,0.6122682249794403,0.0,0.0,0.0,0.0,0.5514965012137379,0.0,0.0,0.005302525183651596,0.0,0.0,0.0,0.0
923,enZJGQf2FUs,-0.06887020341431101,0.00974246021360159,0.0,0.4002968370914459,0.22192183043807745,0.1426399084739387,0.05589696764945984,0.0,0.0,0.0,0.0,0.1782112626824528,0.016685759648680687,0.0,0.003848845837637782,0.0,0.0,0.0,0.0,0.0,0.0,0.5794089943170547,0.05059389770030975,0.0,0.008017957055320343,0.0,0.0,0.0,0.0
924,brSNwP5OsUI,0.2621005780529231,0.43325998936779797,0.0,0.0,0.006387479758510987,0.0655688252300024,0.0,0.0,0.0,0.0,0.0,0.006813658168539405,0.0,0.0,0.0,0.0,0.043068863451480865,0.0,0.0,0.0,0.0,0.7114577330648899,0.007955004461109638,0.0,0.010626426432281733,0.0,0.0,0.0,0.0
925,dRECy6Bv9jk,0.5764006786812388,0.34179656410022924,0.008484818041324615,0.0,0.009639815745973274,0.03990083090029657,0.12393882125616074,0.018770571099594235,0.015642809836814802,0.06388105009682477,0.005992329213768244,0.08357922333691802,0.0,0.0,0.006367150694131851,0.0,0.6835080037784317,0.0,0.0,0.462677001953125,0.0,0.4027914635686053,0.06182360090315342,0.0,0.009782255895865651,0.0,0.0,0.0,0.0
926,Z7olddMLs28,0.28387895226478577,0.013985900208353996,0.0,0.0,0.0,0.08280446380376816,0.0,0.0,0.0,0.34652772545814514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5224856734275818,0.04969235509634018,0.0,0.0,0.0,0.0,0.0,0.0
